Game ID,Game Name,Brand,Category,Image URL
,"#Alice and the Mad Respin Party 96","RubyPlay",Slot,https://igamingapis.com/img/9560.png
,"#Alice in the Wild 96","RubyPlay",Slot,https://igamingapis.com/img/9582.png
,"#LuxuryLife","Endorphina",Slot,https://igamingapis.com/img/12428.png
,"1 Day Dragon Tiger","MAC 88",Live,https://igamingapis.com/img/11521.png
,"1-Of-A-Kind","Playtech",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1161/public
,"10","RedTiger（Asia）",PVC,https://igamingapis.com/img/8527.png
,"10 - 10 cricket","MAC 88",Live,https://igamingapis.com/img/11509.png
,"10 CaiShen's Chest","EpicWin",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1160/public
,"10 Sparkling Crown","JILI",Slot,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10035/public
,"100 Joker Staxx","Playson",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1162/public
,"100 PokDeng","Rich88",flash,https://igamingapis.com/img/1163.png
,"100 Teen Patti","Rich88",flash,https://igamingapis.com/img/1164.png
,"100 Zombies","Endorphina",Slot,https://igamingapis.com/img/12402.png
,"100 Zombies Dice","Endorphina",Slot,https://igamingapis.com/img/12361.png
,"1000 Olympus Rivals","Amigo",Slot,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10020/public
,"10000 Wishes","Microgaming",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/200/public
,"10001 Nights","RedTiger（Asia）",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/8384/public
,"10001 Nights","RedTiger",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1165/public
,"10001 Nights Megaways","RedTiger",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1166/public
,"1000x Busta","RelaxGaming",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1167/public
,"1001 Fruit Wishes","Amigo",Slot,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10021/public
,"100x Diamond 7","YGRGaming",flash,https://igamingapis.com/img/1168.png
,"100x Lions 7","YGRGaming",flash,https://igamingapis.com/img/1169.png
,"101 Candies","Netent（Asia）",Slots,https://igamingapis.com/img/6721.png
,"108 Heroes","Microgaming",flash,https://igamingapis.com/img/1170.png
,"108 Heroes Water Margin","Microgaming",flash,https://igamingapis.com/img/1171.png
,"10x Diamond 7","YGRGaming",flash,https://igamingapis.com/img/1172.png
,"10x Lions 7","YGRGaming",flash,https://igamingapis.com/img/1173.png
,"12 Skulls of the Dead","Microgaming",Slot,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10269/public
,"12 Zodiacs","Habanero",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1174/public
,"123 Boom!","RelaxGaming",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1175/public
,"15 Crystal Roses: A Tale of Love","PlaynGo",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1176/public
,"15 Dragon Pearls: Hold and Win","3Oaks (BNG)",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/7108/public
,"15 Tridents","Microgaming",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/147/public
,"168 Lucky Bag","CQ9",Slot,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10148/public
,"1942 Sky Warrior","RedTiger（Asia）",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/8518/public
,"1942: Sky Warrior","RedTiger",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1177/public
,"1st Cricket League","Amigo",Slot,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10016/public
,"1Tap Mines","Turbogames World",MiniGames,https://igamingapis.com/img/7334.png
,"1Tap Mines","Turbogames Asia",MiniGames,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/7293/public
,"2 Card Teenpatti","Aura Gaming",Casino Live,https://igamingapis.com/img/12901.png
,"2 card Teenpatti Fast","Aura Gaming",Casino Live,https://igamingapis.com/img/12892.png
,"2 Hand Casino Hold'em","Evolution Live",CasinoLive,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6312/public
,"2 Powerful Dragons","Skywind",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1179/public
,"2 Wild 2 Die","Hacksaw Asia",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1180/public
,"2 Wild 2 Die","Hacksaw World",Slot,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10800/public
,"2-8 Bar","MT GAMING",百人场,https://igamingapis.com/img/9351.png
,"20 20 Teenpatti 2","MAC 88",Live,https://igamingapis.com/img/11501.png
,"20 Blazing Clover","JILI",Slot,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/10515/public
,"20 Hot Fruit Delights","GameArt",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/6155/public
,"20-20 Teenpatti","MAC 88",Live,https://igamingapis.com/img/11523.png
,"20000 Leagues under the Sea","KA",Video Slot,https://igamingapis.com/img/11098.png
,"2016 Gladiators","Endorphina",Slot,https://igamingapis.com/img/12448.png
,"2020 Hit Slot","Endorphina",Slot,https://igamingapis.com/img/12414.png
,"2020 Teen Patti","Sexy",flash,https://igamingapis.com/img/1181.png
,"2021 Hit Slot","Endorphina",Slot,https://igamingapis.com/img/12392.png
,"2022 Hit Slot","Endorphina",Slot,https://igamingapis.com/img/12375.png
,"2023 Hit Slot","Endorphina",Slot,https://igamingapis.com/img/12351.png
,"2023 Hit Slot Dice","Endorphina",Slot,https://igamingapis.com/img/12328.png
,"2024 Hit Slot","Endorphina",Slot,https://igamingapis.com/img/12324.png
,"2025 Hit Slot","Endorphina",Slot,https://igamingapis.com/img/12475.png
,"2027 ISS","Endorphina",Slot,https://igamingapis.com/img/12447.png
,"24 Hour Grand Prix","RedTiger（Asia）",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/8456/public
,"24 Hour Grand Prix","RedTiger",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1182/public
,"24k Dragon","PlaynGo",flash,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/1183/public
,"25000 Talons","Microgaming",Slots,https://imagedelivery.net/nVyft9zNw2I0pNVtrnC1zA/188/public
